CAS,chemical_name,susdat_name,susdat_id,DTX,,
5234-68-4,carboxin,,NS00002769,,,
55285-14-8,carbosulfan,,NS00008805,,,
1217465-10-5,cga 357704,"	N-(2-Ethyl-6-methylphenyl)-N-oxalo-L-alanine",NS00005967,,,
128639-02-1,carfentrazone-ethyl,,NS00019702,,,
1173021-76-5,cga 368208,Metolachlor CGA 368208,NS00400972,,,
0,cga 50267,,NS00067577,,,
142891-20-1,cinidon-ethyl,,NS00098680,,,
94593-91-6,cinosulfuron,,NS00008335,,,
5103-71-9,cis-chlordane,,NS00066932,,,
5103-73-1,cis-nonachlor,Nonachlor-cis,NS00073926,,,
74051-80-2,sethoxydim,,NS00060331,,,
99129-21-2,clethodim,,NS00019754,,,
74115-24-5,clofentezine,,NS00005836,,,
105512-06-9,clodinafop-propargyl,,NS00000112,,,
81777-89-1,clomazone,,NS00010041,,,
1702-17-6,clopyralid,,NS00005373,,,
210880-92-5,clothianidin,,NS00009180,,,
81-82-3,coumachlor,,NS00000510,,,
117-52-2,coumafuryl,,NS00000511,,,
56-72-4,coumaphos,,NS00009821,,,
5836-29-3,coumatetralyl,,NS00047085,,,
535-89-7,crimidine,,NS00004032,,,
21725-46-2,cyanazine,,NS00000383,,,
120116-88-3,cyazofamid,,NS00008379,,,
736994-63-1,cyantraniliprole,,NS00040712,,,
101205-02-1,cycloxydim,,NS00000116,,,
28159-98-0,cybutryne,,NS00000272,,,
2163-69-1,cycluron,,NS00008784,,,
180409-60-3,cyflufenamid,,NS00002257,,,
68359-37-5,cyfluthrin,,NS00007574,,,
122008-85-9,cyhalofop-butyl,,NS00008915,,,
68085-85-8,cyhalothrin,Alpha-Cyhalothrin,NS00009539,,,
13067-93-1,cyjanofenofos,Cyanofenphos,NS00000115,,,
57966-95-7,cymoxanil,,NS00009143,,,
61676-87-7,cymiazole,,NS00005904,,,
52315-07-8,cypermethrin,,NS00108173,,,
94361-06-5,cyproconazole,,NS00000117,,,
121552-61-2,cyprodinil,,NS00001536,,,
66215-27-8,cyromazine,Cyromazine,NS00001536,,,
533-74-4,dazomet,Dazomet,NS00006011,,,
3424-82-6,,"o,p'-DDE",NS00001717,,,
72-55-9,,"p,p'-DDE",NS00002973,,,
53-19-0,,"	1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane (o,p'-DDD)",NS00009562,,,
72-54-8,,"	p,p'-DDD",NS00007051,,,
6190-65-4,deethylatrazine,Deethylatrazine,NS00008490,,,
,DDT,DDT total,NS00066798,,,
789-02-6,,"o,p'-DDT",NS00002496,,,
"	50-29-3",,"p,p'-DDT",NS00008970,,,
1007-28-9,deisopropylatrazine,,NS00000261,,,
52918-63-5,deltamethrin,,NS00009182,,,
8065-48-3,demeton,,NS00099561,,,
13684-56-5,desmedipham,,NS00000069,,,
919-86-8,demeton-s-methyl,,NS00000119,,,
34123-57-4,desmethyl-isoproturon,Isoproturon-monodemethyl,NS00000274,,,
1014-69-3,desmetryn,,NS00000121,,,
80060-09-9,diafenthiuron,,NS00002975,,,
10311-84-9,dialifos,Dialifor,NS00005664,,,
333-41-5,diazinon,,NS00008266,,,
2303-16-4,diallate,,NS00073909,,,
75736-33-3,diclobutrazol,,NS00005802,,,
1918-00-9,dicamba,,NS00000253,,,
1085-98-9,diclofluanide,Dichlofluanid,NS00008817,,,
40843-25-2,diclofop,,NS00101083,,,
115-32-2,dicofol,,NS00004774,,,
99-30-9,dicloran,,NS00006107,,,
60-57-1,dieldrin,,NS00098501,,,
87130-20-9,diethofencarb,,NS00010585,,,
598-02-7,diethylphosphate,"	Diethyl hydrogen phosphate",NS00015148,,,
56073-07-5,difenacoum,,NS00015683,,,
2465-65-8,diethylthiophosphate,"O,O-Diethyl phosphorothionate",NS00014896,,,
104653-34-1,difethialone,,NS00020046,,,
119446-68-3,difenoconazole,,NS00000433,,,
83164-33-4,diflufenican,,NS00008837,,,
35367-38-5,diflubenzuron,,NS00009540,,,
97-17-6,dichlofenthion,,NS00000123,,,
1194-65-6,dichlobenil,,NS00002192,,,
5980-24-5,dichlorobenzamide,"2,3-Dichlorobenzamide",NS00010264,,,
1085-98-9,dichlofluanid,,NS00008817,,,
120-36-5,dichlorprop,,NS00000250,,,
15165-67-0,dichlorprop-p,,NS00066820,,,
62-73-7,dichlorvos,,NS00000487,,,
56507-37-0,diketometribuzin,,NS00000194,,,
50563-36-5,dimethachlor,,NS00007718,,,
34205-21-5,dimefuron,,NS00010458,,,
"	1231710-75-0",dimethachlor-esa,Dimethachlor ESA,NS00000331,,,
1086384-49-7,dimethachlor-oxa,"	Dimethachlor OXA",NS00000332,,,
