LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
,Ca,7440-70-2,NS00082625,615.0195043,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 0,8264008838678554,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,1455.73538,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,1715575058742977,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,759.7053089,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,0944659705688604,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,730.1983718,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,20107786232617,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,665.7290234,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,2337270279943358,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,437.7424235,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,0124944887934477,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,284.995964,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 0,9302159355564892,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,267.6693019,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 0,9488974993386552,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,266.7871297,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,1202516741100372,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,426.3331509,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,5404914180788323,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,315.7062314,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,9626648823324981,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,538.9409935,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,720509987603027,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,555.1935914,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,322461343748865,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,656.9959978,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,632313046906203,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,926.1187281,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,male,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,6268189575131355,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,261.5548178,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 0,8748600801912971,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,546.1047898,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,0952958934379038,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,600.9703511,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,2710320609578347,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,656.9959978,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,3865822220147412,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,992.5998233,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,3716519096006514,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,901.9804668,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,4830358578549605,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,901.9804668,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,6219649461328185,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,600.9703511,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,4840566629838838,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,558.8713261,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,73894257452448,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,727.7918174,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,196744627546177,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,1056.852397,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 2,339366872591278,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
,Ca,7440-70-2,NS00082625,294.5612589,N/A,single value,N/A,ppm?,Biota-Terrestrial,feathers,N/A,ultrasonic bath containing a detergent (1% TritonX in bidistilled water),Hamburg 2 MeV scanning proton microprobe using the proton induced X-ray emission (PIXE) method,N/A,2 ppm (part per million=mg/kg),Barn owl,Barn owl,Tyto alba,Animalia,Aves,Strigiformes,nestling,female,1,N/A,1996,N/A,N/A,N/A,N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,"plumage spottiness: 1,796124260201567,",N/A,"covariation between spottiness, immunocompetence, parasites resistance and fluctuating asymmetry of wing feathers",N/A,N/A,N/A,N/A,Twenty pairs of nests were selected with the criterion that the two nests of a pair (i.e. nests A and B) contained one same-sex sibling each,N/A,N/A,Switzerland,western Switzerland,"46*490 N, 06*560 E",N/A,"humid continental climate, Dfb",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Niecke et al. 2003, Oecologia",,
