sus_id,DTXSID,usepa_formula,usepa_wikipedia,usepa_wikipedia_url,usepa_Log_Kow_experimental,usepa_Log_Kow_predicted,usepa_solubility_experimental,usepa_solubility_predicted,usepa_Koc_min_experimental,usepa_Koc_max_experimental,usepa_Koc_min_predicted,usepa_Koc_max_predicted,usepa_Life_experimental,usepa_Life_predicted,usepa_BCF_experimental,usepa_BCF_predicted
65997,DTXSID80241439,,,,,,,,,,63.8376,63.8376,,7.41129,,3.95148
65998,DTXSID90243782,,,,,,,,,,109.216,109.216,,5.67324,,1.0383
66000,DTXSID40241415,,,,,,,,,,25.7549,25.7549,,3.53843,,3.55196
66003,DTXSID10206132,,,,,,,,,,53.8813,53.8813,,19.4332,,33.3234
66004,DTXSID60916254,,,,,,,,,,13766.7,13766.7,,5.76979,,300.447
66005,DTXSID30869203,,,,,,,,,,59.0777,59.0777,,4.63517,,10.9233
66006,DTXSID20916250,,,,,,,,,,1185.26,1185.26,,5.71423,,171.363
66007,DTXSID20240860,,,,,,,,,,7676.75,7676.75,,3.35569,,6.06196
66009,DTXSID101006541,,,,,,,,,,161374,161374,,7.45995,,86.0224
66010,DTXSID801006542,,,,,,,,,,102808,102808,,85.9153,,307.139
66012,DTXSID40240802,,,,,,,,,,99976.5,99976.5,,213.698,,54.151
66013,DTXSID20240805,,,,,,,,,,43.4617,43.4617,,3.53572,,4.66435
66014,DTXSID10905895,,,,,,,,,,131320,131320,,157.107,,245.977
66016,DTXSID90915674,,,,,,,,,,1438.31,1438.31,,4.89367,,232.518
66018,DTXSID10915671,,,,,,,,,,14008.4,14008.4,,4.84354,,230.957
66019,DTXSID20915667,,,,,,,,,,132.997,132.997,,3.53465,,8.24114
66020,DTXSID70915657,,,,,,,,,,472.273,472.273,,4.33088,,9.09751
66021,DTXSID60610881,,,,,,,,,,1264.21,1264.21,,5.57082,,24.1256
66022,DTXSID80242941,,,,,,,,,,31.6057,31.6057,,3.67482,,3.01897
66023,DTXSID90915896,,,,,,,,,,1081.39,1081.39,,3.54156,,17.8942
66025,DTXSID30915895,,,,,,,,,,20611.8,20611.8,,214.22,,50.3928
66026,DTXSID90915770,,,,,,,,,,14004.9,14004.9,,4.94012,,71.0615
66027,DTXSID00915766,,,,,,,,,,2582.94,2582.94,,3.34862,,81.7716
66030,DTXSID201005908,,,,,,,,,,119.143,119.143,,4.61582,,5.6612
66031,DTXSID901005911,,,,,,,,,,84.345,84.345,,16.1597,,1.54244
66033,DTXSID10916289,,,,,,,,,,9878.54,9878.54,,6.5939,,797.473
66034,DTXSID50916288,,,,,,,,,,54.8997,54.8997,,4.47703,,2.32197
66035,DTXSID90916287,,,,,,,,,,38.8007,38.8007,,4.49274,,3.28699
66036,DTXSID10916284,,,,,,,,,,24.0527,24.0527,,3.53051,,13.1652
66038,DTXSID60916279,,,,,,,,,,63.929,63.929,,4.46379,,2.31339
66040,DTXSID80916271,,,,,,,,,,104508,104508,,89.4896,,3024.01
66041,DTXSID00915761,,,,,,,,,,428.765,428.765,,5.7172,,224.716
66042,DTXSID10869226,,,,,,,,,,255.387,255.387,,4.44345,,91.045
66046,DTXSID80916236,,,,,,,,,,47.1787,47.1787,,3.3558,,2.45164
66051,DTXSID10913935,,,,,,,,,,13730.7,13730.7,,5.66749,,15.3642
66054,DTXSID00242948,,,,,,,,,,265.508,265.508,,19.3723,,27.372
66055,DTXSID50915736,,,,,,,,,,129.271,129.271,,4.4012,,36.0954
66060,DTXSID20915728,,,,,,,,,,2177.83,2177.83,,4.6383,,245.929
66061,DTXSID60915727,,,,,,,,,,5553.52,5553.52,,4.32848,,34.4612
66062,DTXSID70241302,,,,,,,,,,231.628,231.628,,4.95224,,2.90553
66064,DTXSID70915758,,,,,,,,,,976.255,976.255,,5.0841,,99.4494
66066,DTXSID60915742,,,,,,,,,,8159.05,8159.05,,39.1546,,4018.31
66067,DTXSID70915738,,,,,,,,,,66.3472,66.3472,,3.14884,,4.95836
66068,DTXSID901006519,,,,,,,,,,54476,54476,,17.8457,,543.351
66072,DTXSID40234746,,,,,,,,,,2689.62,2689.62,,4.26822,,63.2567
66079,DTXSID30242951,,,,,,,,,,66699.6,66699.6,,111.38,,1413.45
66083,DTXSID30915719,,,,,,,,,,752.946,752.946,,4.21148,,213.971
66084,DTXSID10915712,,,,,,,,,,14064.6,14064.6,,8.56595,,12.9721
66086,DTXSID90915871,,,,,,,,,,120.67,120.67,,6.4635,,1.21364
66089,DTXSID10916229,,,,,,,,,,1422.63,1422.63,,5.68287,,585.247
66092,DTXSID40234761,,,,,,,,,,86.8115,86.8115,,8.4023,,1.76937
66093,DTXSID901006133,,,,,,,,,,52.8668,52.8668,,4.63565,,1.72739
66094,DTXSID701006137,,,,,,,,,,1723.92,1723.92,,7.64624,,278.139
66095,DTXSID401006138,,,,,,,,,,564.486,564.486,,5.16943,,167.858
66098,DTXSID90916262,,,,,,,,,,568.874,568.874,,5.71951,,3.175
66099,DTXSID40240847,,,,,,,,,,44.5087,44.5087,,4.22757,,2.77324
66100,DTXSID10916325,,,,,,,,,,13702.8,13702.8,,8.39291,,129.155
66101,DTXSID00240767,,,,,,,,,,105.703,105.703,,4.63246,,53.2169
66102,DTXSID20240769,,,,,,,,,,98.6245,98.6245,,3.54231,,7.60761
66103,DTXSID30915491,,,,,,,,,,58753.3,58753.3,,12.8451,,29.7521
66105,DTXSID60915686,,,,,,,,,,13843.6,13843.6,,5.62907,,123.621
66109,DTXSID301008181,,,,,,,,,,102.91,102.91,,5.41521,,3.31838
66110,DTXSID30237125,,,,,,,,,,165.543,165.543,,3.09977,,3.91707
66111,DTXSID901008272,,,,,,,,,,9927.06,9927.06,,4.44081,,361.858
66115,DTXSID901008622,,,,,,,,,,2100.84,2100.84,,5.08103,,404.845
66120,DTXSID20916311,,,,,,,,,,341.715,341.715,,2.53191,,139.527
66121,DTXSID90916308,,,,,,,,,,191.831,191.831,,4.53731,,245.385
66122,DTXSID10916300,,,,,,,,,,10076.5,10076.5,,13.0719,,116.757
66123,DTXSID10240798,,,,,,,,,,82216.9,82216.9,,88.2921,,57.8843
66124,DTXSID20913946,,,,,,,,,,8761.74,8761.74,,4.22729,,6.27807
66125,DTXSID30242936,,,,,,,,,,78.1941,78.1941,,4.2824,,2.21872
66131,DTXSID80915567,,,,,,,,,,480.079,480.079,,4.77508,,115.376
66133,DTXSID00915145,,,,,,,,,,6031.37,6031.37,,4.22541,,541.085
66136,DTXSID80913669,,,,,,,,,,7251.46,7251.46,,6.54523,,137.557
66139,DTXSID10244236,,,,,,,,,,4799.71,4799.71,,4.594,,59.523
66140,DTXSID30244238,,,,,,,,,,2052.5,2052.5,,3.53722,,4.68395
66141,DTXSID90244239,,,,,,,,,,268.886,268.886,,3.54,,8.86792
66142,DTXSID50237642,,,,,,,,,,117.821,117.821,,4.60656,,4.17969
66143,DTXSID10237643,,,,,,,,,,51.724,51.724,,3.53508,,2.90529
66144,DTXSID801008900,,,,,,,,,,519.055,519.055,,3.33449,,96.5548
66145,DTXSID801008962,,,,,,,,,,58.4678,58.4678,,4.1291,,4.24175
66146,DTXSID801008974,,,,,,,,,,479882,479882,,10.8673,,79.2872
66148,DTXSID901006090,,,,,,,,,,317.602,317.602,,4.62782,,5.94305
66149,DTXSID701006113,,,,,,,,,,307.009,307.009,,5.73809,,2.94616
66151,DTXSID50916223,,,,,,,,,,15695.9,15695.9,,5.67557,,4.44388
66153,DTXSID70916220,,,,,,,,,,454.928,454.928,,3.81687,,4.87959
66154,DTXSID50240898,,,,,,,,,,90697.6,90697.6,,87.6368,,18.6089
66155,DTXSID10240899,,,,,,,,,,102275,102275,,7.19605,,16.9062
66157,DTXSID20915566,,,,,,,,,,968.019,968.019,,4.76618,,117.099
66158,DTXSID70915995,,,,,,,,,,2643.22,2643.22,,3.53825,,2.89045
66159,DTXSID60240804,,,,,,,,,,100109,100109,,212.569,,53.0413
66161,DTXSID70916285,,,,,,,,,,155.633,155.633,,3.54582,,12.1011
66162,DTXSID50916283,,,,,,,,,,572.22,572.22,,13.7137,,845.79
