sus_id,categories
5725,drinking_water_contaminant:pesticide:detected
5725,food_residue
5725,fungicide:consumer_use
5725,industrial_manufacturing_ACToRUseDB
5725,inert_ACToRUseDB
5725,manufacturing:machines
5725,paint
5725,paint:consumer_use
5725,paint:water_based
5725,personal_care:cosmetics:prohibited_ASEAN
5725,pesticide
5725,pesticide:active_ingredient
5725,pesticide:antimicrobial:active_ingredient
5725,pesticide:biocide:active_ingredient
5725,pesticide:biocide:non_agricultural
5725,pesticide:consumer_use
5725,pesticide:food_additive
5725,pesticide:ground_water_contaminant
5725,pesticide:inert_ingredient
5725,pesticide:pesticide_conventional
5725,pesticide:preservatives
5725,pesticide_ACToRUseDB
33198,drug
33198,drug_ACToRUseDB
9225,drug
9225,drug_ACToRUseDB
3734,drug
3734,drug:anitequidae:veterinary
3734,drug:antifungal
3734,drug:antirheumatic
3734,drug:dermatologic
3734,drug:enzyme_inhibitor
3734,drug:immunomodulatory
3734,drug:immunosuppressive
3734,drug:orphan
3734,drug_ACToRUseDB
3734,food
3734,pesticide:active_ingredient
9014,drug
9014,drug:anticancer
9014,drug_ACToRUseDB
9014,food
33352,drug
33352,drug_ACToRUseDB
250,agricultural
250,agricultural:animal
250,agricultural:crop
250,agrochemical:crop
250,consumer_use_ACToRUseDB
250,drinking_water_contaminant:pesticide:detected
250,fertilizer:consumer_use
250,food_residue
250,hunting
250,industrial_manufacturing_ACToRUseDB
250,inert_ACToRUseDB
250,pesticide
250,pesticide:active_ingredient
250,pesticide:ground_water_contaminant
250,pesticide:inert_ingredient
250,pesticide:pesticide_conventional
250,pesticide_ACToRUseDB
247,agrochemical:crop
247,agrochemical:crop:fruit
247,agrochemical:crop:nut
247,consumer_use_ACToRUseDB
247,drinking_water_contaminant:pesticide:detected
247,fertilizer:consumer_use
247,food_residue
247,fungicide:consumer_use
247,herbicide_ACToRUseDB
247,manufacturing:agrochemical
247,manufacturing:fertilizer
247,manufacturing:pesticide
247,manufacturing:raw_material
247,personal_care_ACToRUseDB
247,pesticide
247,pesticide:active_ingredient
247,pesticide:consumer_use
247,pesticide:food_additive
247,pesticide:ground_water_contaminant
247,pesticide:herbicide
247,pesticide_ACToRUseDB
265,adhesive
265,agrochemical:crop
265,agrochemical:crop:flowers
265,agrochemical:crop:fruit
265,agrochemical:crop:nut
265,antifouling
265,antimicrobial_ACToRUseDB
265,automotive
265,binding
265,building_construction
265,building_construction:boats
265,building_material
265,construction
265,drinking_water_contaminant:pesticide:detected
265,drug
265,drug_ACToRUseDB
265,food_residue
265,herbicide_ACToRUseDB
265,impregnation
265,impregnation:leather
265,impregnation:paper
265,impregnation:textile
265,impregnation:wood
265,industrial_manufacturing_ACToRUseDB
265,manufacturing:adhesive
265,manufacturing:building_material:wood
265,manufacturing:chemical
265,manufacturing:electrical
265,manufacturing:export
265,manufacturing:machines
265,manufacturing:metals
265,manufacturing:paint
265,manufacturing:plastics
265,manufacturing:rubber
265,paint
265,paint:antifouling
265,paint:consumer_use
265,paint:volatile_organic
265,paint:water_based
265,personal_care:cosmetics:prohibited_ASEAN
265,pesticide
265,pesticide:active_ingredient
265,pesticide:antimicrobial:active_ingredient
265,pesticide:biocide:active_ingredient
265,pesticide:biocide:non_agricultural
265,pesticide:food_additive
